year,game_sno,date,opponent,home_away,final_visiting,final_home,lin_li_played,lin_li_role,team_win,team_r,team_pa,team_ab,team_h,team_1b,team_2b,team_3b,team_hr,team_bb,team_ibb,team_hbp,team_sf,team_sac,team_so,team_gidp,team_sb,team_cs
2020,178,2020-09-02,富邦悍將,home,3,10,True,先發,True,10,40,37,14,10,3,0,1,2,0,0,0,1,9,0,3,1
2020,181,2020-09-04,統一7-ELEVEn獅,home,7,8,True,先發,True,8,44,40,16,10,2,1,3,3,1,1,0,0,7,2,6,0
2020,183,2020-09-05,統一7-ELEVEn獅,home,4,5,True,先發,True,5,43,39,9,6,2,0,1,4,0,0,0,0,6,0,0,1
2020,185,2020-09-06,統一7-ELEVEn獅,home,5,12,True,非先發,True,12,46,33,11,7,2,0,2,10,0,2,1,0,6,1,1,0
2020,189,2020-09-09,中信兄弟,home,0,6,True,先發,True,1,41,36,11,10,0,0,1,5,0,0,0,0,5,1,1,0
2020,190,2020-09-10,中信兄弟,home,4,5,True,先發,True,5,35,32,10,8,0,1,1,3,0,0,0,0,7,2,0,1
2020,192,2020-09-11,富邦悍將,away,12,2,True,先發,True,7,45,42,14,12,1,0,1,3,0,0,0,0,7,0,1,1
2020,194,2020-09-12,富邦悍將,away,1,12,True,先發,False,1,33,33,8,7,1,0,0,0,0,0,0,0,5,1,0,1
2020,196,2020-09-13,富邦悍將,away,3,6,True,先發,False,4,39,31,6,4,1,0,1,7,1,0,0,1,10,1,1,0
2020,197,2020-09-15,統一7-ELEVEn獅,away,1,4,True,先發,False,1,33,30,4,2,1,1,0,2,0,1,0,0,5,0,0,1
2020,198,2020-09-16,統一7-ELEVEn獅,away,5,11,False,,False,5,40,36,13,8,4,0,1,1,0,2,1,0,3,1,2,0
2020,201,2020-09-18,中信兄弟,away,2,13,True,先發,False,2,33,32,6,6,0,0,0,0,0,0,0,1,10,0,0,0
2020,203,2020-09-19,中信兄弟,away,4,3,True,非先發,True,4,37,35,9,6,1,0,2,1,0,0,0,1,7,0,0,1
2020,205,2020-09-20,中信兄弟,away,0,6,True,非先發,False,0,31,28,2,2,0,0,0,3,0,0,0,0,7,1,0,0
2020,207,2020-09-22,統一7-ELEVEn獅,home,6,7,False,,True,7,40,36,13,11,2,0,0,2,0,0,1,1,4,1,0,0
2020,208,2020-09-23,統一7-ELEVEn獅,home,12,9,True,非先發,False,9,43,40,16,11,5,0,0,2,0,1,0,0,10,1,2,1
2020,211,2020-09-25,中信兄弟,home,4,9,True,非先發,True,9,38,33,12,6,3,1,2,3,1,1,0,1,8,0,0,1
2020,213,2020-09-26,中信兄弟,home,5,2,True,非先發,False,2,31,29,3,3,0,0,0,2,0,0,0,0,11,0,0,0
2020,215,2020-09-27,中信兄弟,home,13,7,False,,False,7,43,41,13,10,1,2,0,2,0,0,0,0,9,1,2,0
2020,219,2020-09-30,富邦悍將,away,7,6,True,先發,True,0,32,29,4,3,1,0,0,3,0,0,0,0,5,2,1,0
2020,220,2020-10-01,富邦悍將,away,7,2,True,先發,True,7,43,41,14,11,1,1,1,2,0,0,0,0,7,1,1,0
2020,221,2020-10-02,統一7-ELEVEn獅,away,15,2,True,先發,True,15,55,51,25,15,6,1,3,3,0,0,1,0,8,1,0,0
2020,223,2020-10-03,統一7-ELEVEn獅,away,8,10,True,先發,False,8,41,37,11,9,1,0,1,2,0,2,0,0,5,1,0,0
2020,225,2020-10-04,統一7-ELEVEn獅,away,3,9,True,先發,False,3,39,35,10,8,1,0,1,3,0,1,0,0,7,2,0,0
2020,229,2020-10-07,中信兄弟,away,4,2,True,先發,True,1,35,32,6,4,1,1,0,3,0,0,0,0,6,1,0,0
2020,230,2020-10-08,中信兄弟,away,5,8,True,先發,False,5,42,37,13,11,1,1,0,3,0,1,1,0,7,0,0,1
2020,231,2020-10-09,富邦悍將,home,2,13,True,先發,True,13,45,40,16,13,2,0,1,5,0,0,0,0,11,0,0,0
2020,233,2020-10-10,富邦悍將,home,6,2,True,先發,False,2,38,35,9,9,0,0,0,3,0,0,0,0,7,2,1,0
2020,235,2020-10-11,富邦悍將,home,15,11,True,先發,False,11,44,39,13,12,0,0,1,5,0,0,0,0,7,1,1,0
2020,238,2020-10-13,統一7-ELEVEn獅,away,5,3,True,先發,True,3,37,32,5,4,0,0,1,5,0,0,0,0,13,0,0,0
2020,240,2020-10-14,統一7-ELEVEn獅,away,7,7,True,先發,False,13,46,43,19,12,3,2,2,3,0,0,0,0,7,0,0,1
2021,4,2021-03-16,統一7-ELEVEn獅,away,12,4,True,先發,True,12,45,40,16,11,4,0,1,3,0,0,1,1,4,0,1,0
2021,5,2021-03-17,統一7-ELEVEn獅,away,2,4,True,先發,False,2,32,29,3,2,1,0,0,2,0,0,1,0,8,1,0,0
2021,10,2021-03-19,富邦悍將,away,1,5,True,先發,False,0,34,32,5,5,0,0,0,2,0,0,0,0,3,1,1,0
2021,12,2021-03-20,富邦悍將,away,4,6,True,非先發,False,6,43,39,11,6,4,0,1,4,0,0,0,0,9,1,0,0
2021,14,2021-03-21,富邦悍將,away,3,2,True,先發,True,4,38,37,14,11,3,0,0,1,1,0,0,0,9,0,0,3
2021,16,2021-03-23,味全龍,home,2,3,True,先發,True,4,35,34,10,7,3,0,0,1,0,0,0,0,8,3,2,0
2021,18,2021-03-24,統一7-ELEVEn獅,home,8,4,True,非先發,False,4,22,21,4,2,0,0,2,1,0,0,0,0,4,0,0,0
2021,20,2021-03-25,統一7-ELEVEn獅,home,3,8,True,先發,True,5,47,39,10,9,0,1,0,6,2,1,0,1,3,2,2,0
2021,21,2021-03-26,統一7-ELEVEn獅,home,1,4,True,先發,True,4,35,30,9,6,2,0,1,2,0,1,0,2,7,1,0,0
2021,25,2021-03-28,中信兄弟,away,6,3,True,先發,True,6,36,31,8,5,2,0,1,2,0,1,1,1,4,1,0,0
2021,27,2021-03-30,味全龍,home,3,0,True,先發,False,0,36,32,7,7,0,0,0,3,0,1,0,0,4,1,0,0
2021,29,2021-03-31,味全龍,home,2,3,True,先發,True,3,34,32,6,6,0,0,0,1,1,0,0,1,6,0,1,0
2021,31,2021-04-01,統一7-ELEVEn獅,home,2,7,True,先發,True,7,38,34,13,12,0,1,0,3,0,1,0,0,3,2,0,0
2021,35,2021-04-03,中信兄弟,home,12,6,True,先發,False,6,40,36,11,10,0,1,0,3,0,1,0,0,11,2,2,0
2021,37,2021-04-04,富邦悍將,home,7,2,True,先發,False,2,40,35,10,9,1,0,0,4,0,0,1,0,11,0,1,0
2021,42,2021-04-07,味全龍,away,5,4,True,先發,True,4,38,34,9,7,2,0,0,4,0,0,0,0,6,2,1,0
2021,44,2021-04-08,味全龍,away,0,2,True,先發,False,9,42,41,19,17,2,0,0,1,0,0,0,0,6,3,1,2
2021,45,2021-04-09,味全龍,away,5,2,True,先發,True,5,47,41,8,5,3,0,0,5,0,1,0,0,5,1,1,1
2021,47,2021-04-10,富邦悍將,away,6,7,True,先發,False,6,41,40,12,9,1,0,2,1,0,0,0,0,10,2,0,0
2021,52,2021-04-13,統一7-ELEVEn獅,away,1,6,True,先發,False,0,33,31,4,4,0,0,0,1,0,1,0,0,4,0,0,0
2021,55,2021-04-15,味全龍,away,11,0,False,,True,11,45,41,16,8,4,3,1,3,0,1,0,0,8,0,0,2
2021,58,2021-04-16,中信兄弟,home,1,5,True,先發,True,4,40,37,13,11,1,0,1,2,0,0,1,0,3,0,1,0
2021,60,2021-04-17,中信兄弟,home,0,7,True,非先發,True,1,35,32,6,4,1,0,1,2,0,1,0,0,15,1,0,1
2021,62,2021-04-18,中信兄弟,home,3,0,False,,False,5,36,34,13,11,2,0,0,2,0,0,0,0,5,2,1,0
2021,63,2021-04-20,中信兄弟,away,6,3,False,,True,6,42,39,14,12,2,0,0,3,0,0,0,0,5,2,1,1
